,Organization,Operating,Peak Size,Econ.a,Regimeb,Typec,Goald,Endede
0,Frente de Liberacion Nacional del Vietnam del Sur (Argentina),1968,10s,UM,PF,LW,PC,PT
1,Front for Defenders of Islam (Indonesia),1997–,"1,000s",LM,F,R,SR,—
2,Front for the Liberation of the Cabinda Enclave (Angola),1963–,100s,LM,NF,N,TC,—
3,Front for the Liberation of Lebanon from Foreigners (Lebanon),1977–1983,100s,LM,PF,N,PC,S
4,"Front for the Liberation of the French Somali Coast (Djibouti,",1967–1977,"1,000s",L,PF,N,TC,V
5,Somalia),,,,,,,
6,Fronte di Liberazione Naziunale di a Corsica (France),1976–,100s,H,F,N,TC,—
7,Gazteriak (France),1994–2000,"1,000s",H,F,N,TC,S
8,"Generation of Arab Fury (Iran, Kuwait)",1989,10s,UM,NF,R,RC,PO
9,Global Intifada (Sweden),2002–,10s,H,F,LW,SR,—
10,"God’s Army (Burma, Thailand)",1997–2001,100s,L,NF,N,TC,MF
11,Gracchus Babeuf (France),1990–1991,10s,H,F,LW,PC,PT
12,Greek Bulgarian Armenian Front (Australia),1986,10s,H,F,N,TC,PO
13,Group Bakunin Gdansk Paris Guatemala Salvador (France),1981–1982,100s,H,F,LW,SR,S
14,Group of Guerilla Compbatants of Jose Maria Morelos y Pavon,2001–,10s,UM,F,LW,RC,—
15,(Mexico),,,,,,,
16,Group of Popular Combatants (Ecuador),1994–,10s,LM,PF,LW,PC,—
