,Organization,Operating,Peak Size,Econ.a,Regimeb,Typec,Goald,Endede
0,"International Justice Group (Egypt, Switzerland)",1995,10s,LM,NF,R,E,S
1,International Revolutionary Action Group (France),1974–1975,10s,H,F,LW,SR,S
2,International Solidarity (Italy),1990–,10s,H,F,LW,SR,—
3,Internet Black Tigers (Sri Lanka),1997,10s,LM,PF,N,TC,S
4,Iparretarrak (France),1973–2000,10s,H,F,N,TC,PO
5,Iraqi Democratic Front (Iraq),1982–1983,10s,UM,NF,N,RC,PT
6,Iraqi Legitimate Resistance (Iraq),2004,10s,LM,NF,N,RC,—
7,Iraqi Revenge Brigades (Iraq),2005–,10s,LM,NF,N,RC,—
8,"Irish National Liberation Army (Ireland, Northern Ireland, UK)",1974–1998,100s,H,F,N,TC,PO
9,"Irish Republican Army (Ireland, Northern Ireland, UK)",1919–2005,"1,000s",H,F,N,TC,PT
10,Islami Chhatra Shibir (Bangladesh),1941–,"1,000s",L,PF,R,RC,—
11,"Islami Inqilabi Mahaz (India, Pakistan)",1997–,10s,L,NF,R,TC,—
12,"Islamic Action in Iraq (Iran, Iraq)",1984–1991,10s,LM,NF,R,RC,MF
13,Islamic Army in Iraq (Iraq),2003–,"1,000s",LM,NF,R,RC,—
14,Islamic Brotherhood (Guatemala),1991,10s,LM,PF,LW,PC,PT
15,Islamic Defense Force (India),1997–1998,10s,L,F,R,PC,PO
