,Organization,Operating,Peak Size,Econ.a,Regimeb,Typec,Goald,Endede
0,Ansar al-Islam (Iraq),2001–,100s,LM,NF,R,RC,—
1,Ansar al-Jihad (Iraq),2004–,10s,LM,NF,R,RC,—
2,Ansar Allah (Lebanon),1994,100s,LM,PF,R,RC,S
3,Ansar al-Sunnah Army (Iraq),2003–,100s,LM,NF,R,RC,—
4,Anti-American Arab Liberation Front (Federal Republic of,1986,10s,H,F,N,PC,PT
5,Germany),,,,,,,
6,Anti-Armenian Organization (France),1984,10s,H,F,N,PC,PT
7,Anticapitalist Attack Nuclei (Italy),2001,10s,H,F,LW,SR,S
8,Anti-Communist Command (Indonesia),2000–,10s,LM,F,RW,PC,—
9,Anti-Imperialist Cell (Germany),1994–1996,10s,H,F,LW,SR,PO
10,Anti-Imperialist Group Liberty for Mumia Abu Jamal,1995,10s,H,F,LW,PC,PT
11,(Germany),,,,,,,
12,Anti-Imperialist International Brigade (Lebanon),1986–1988,10s,LM,NF,LW,SR,PO
13,Anti-Imperialist Patrols for Proletariat Internationalism (Italy),1983,10s,H,F,LW,RC,S
14,Anti-Imperialist Territorial Nuclei for the Construction of the,1995–,10s,H,F,LW,RC,—
15,Fighting Communist Party (Italy),,,,,,,
16,Anti-Power Struggle (Greece),1995–2001,10s,H,F,LW,SR,S
