,Organization,Operating,Peak Size,Econ.a,Regimeb,Typec,Goald,Endede
0,Tigray Peoples Liberation Front (Ethiopia),1975–1991,"1,000s",L,PF,LW,RC,PT
1,TKEP/L (Turkey),1990–2001,100s,LM,PF,LW,TC,PO
2,TKP/ML-TIKKO (Turkey),1972–,100s,UM,PF,LW,RC,—
3,Tontons Macoutes (Haiti),1959–2000,100s,L,NF,RW,RC,PO
4,Totally Anti-War Group (France),2001,10s,H,F,LW,PC,PT
5,"Tunisian Combatant Group (Afghanistan, Tunisia, Western",2000–,10s,LM,NF,R,RC,—
6,Europe),,,,,,,
7,Tupac Amaru Revolutionary Movement (Peru),1982–,10s,LM,F,LW,RC,—
8,Tupac Katari Guerrilla Army (Bolivia),1991–1993,100s,LM,F,LW,RC,PO
9,"Tupamaro Revolutionary Movement, January 23 (Venezuela)",1998–2003,10s,UM,PF,LW,SQ,PT
10,Tupamaros (Uruguay),1963–1985,"1,000s",UM,F,LW,RC,MF
11,Turkish Hizballah (Turkey),1981–,100s,UM,PF,R,RC,—
12,Turkish Islamic Jihad (Turkey),1991–1996,100s,LM,PF,R,RC,S
13,Turkish People’s Liberation Army (Turkey),1971–1980,10s,LM,PF,LW,RC,PO
14,Turkish People’s Liberation Front (Turkey),1971–1999,100s,LM,PF,LW,RC,S
15,"Uganda Democratic Christian Army (Sudan, Uganda)",1990–1994,100s,L,PF,R,RC,S
