,Organization,Operating,Peak Size,Econ.a,Regimeb,Typec,Goald,Endede
0,Black Widows (Russia),2000–,10s,UM,BF,N,TC,—
1,"Bodo Liberation Tigers (Bhutan, India)",1996–2003,"1,000s",L,F,N,TC,V
2,Boere Aanvals Troepe (S. Africa),1996–1997,10s,UM,F,RW,TC,PO
3,Bolivarian Guerilla Movement (Venezuela),2003,10s,UM,PF,LW,SR,S
4,Bolivarian Liberation Forces (the first) (Venezuela),1992,10s,UM,PF,LW,RC,PT
5,Bolivarian Liberation Forces (the second) (Venezuela),2002–,100s,UM,PF,LW,SR,—
6,"Borok National Council of Tripura (Bangladesh, India)",2000–,100s,L,F,N,TC,—
7,Breton Revolutionary Army (France),1971–2000,10s,H,F,N,TC,PO
8,Brigade 313 (Pakistan),2003–,10s,L,NF,R,RC,—
9,Brigades of Imam al-Hassan al-Basri (Iraq),2005–,10s,LM,NF,Reigious,RC,—
10,Brigades of Martyr Ahmed Yassin (Iraq),2004,10s,LM,NF,N,RC,S
11,Brigades of the Victorious Lion of God (Iraq),2004–,10s,LM,NF,R,RC,—
12,Brother Julian (Bolivia),1987,10s,LM,F,LW,PC,PT
13,"Cambodian Freedom Fighters (Cambodia, U.S.)",1998–2001,10s,L,NF,LW,RC,PO
14,Carapaica Revolutionary Movement (Venezuela),2002–,10s,UM,PF,LW,SQ,—
15,"Catholic Reaction Force (Northern Ireland, UK)",1983–,10s,H,F,N,TC,—
