,1920 Revolution Brigades (Iraq),2003–,10s,LM,NF,R,RC,—
0,23rd of September Communist League (Mexico),1973–1982,100s,UM,PF,LW,RC,PO
1,28 May Armenian Organization (Turkey),1977,10s,LM,F,N,TC,S
2,2nd of June Movement (Federal Republic of Germany),1975–1981,10s,H,F,LW,PC,S
3,Abdurajak Janjalani Brigade (Philippines),1999,10s,LM,F,R,PC,S
4,Abu al-Abbas (Iraq),2004,10s,LM,NF,R,PC,S
