,Organization,Operating,Peak Size,Econ.a,Regimeb,Typec,Goald,Endede
0,"al-Fuqra (Canada, Pakistan, U.S.)",1980–,"1,000s",H,F,R,SR,—
1,"al-Gama’a al-Islamiyya (Egypt, Afghanistan)",1977–,100s,LM,NF,R,E,—
2,al-Hadid (India),1994,10s,L,F,N,TC,S
3,al-Haramayn Brigades (Saudia Arabia),2003–,10s,H,NF,R,RC,—
4,Ali bin Abu Talib Jihad Organization (Iraq),2005–,10s,LM,NF,R,RC,—
5,Alianca Libertadora Nacional (Brazil),1968–1970,100s,LM,PF,LW,RC,PO
6,al-Intiqami al-Pakistani (Pakistan),2002,10s,L,NF,R,E,PO
7,"al-Ittihaad al-Islami (Ethiopia, Kenya, Somalia)",1989–1996,"1,000s",L,NF,R,E,MF
8,"All Burma Students’ Democratic Front (Burma, Thailand)",1988–,100s,L,NF,LW,RC,—
9,"All Tripura Tiger Force (Bangladesh, India)",1990–,100s,L,F,N,TC,—
10,al-Madina (India),2002–,10s,L,F,N,TC,—
11,"al-Mansoorain (India, Pakistan)",2003–,100s,L,F,N,TC,—
12,al-Nawaz (Pakistan),1999–2000,10s,L,NF,N,RC,PO
13,"al Qa’ida (Pakistan, Afghanistan, and others)",1988–,"1,000s",L,NF,R,E,—
14,al Qa’ida in the Arabian Peninsula (Saudi Arabia),2004–,100s,H,NF,R,E,—
