	Organization	Operating	Peak Size	Econ.a	Regimeb	Typec	Goald	Endede
0	Justice Army of Defensless People (Mexico)	1996–1998	10s	UM	PF	LW	PC	S
1	Justice Commandos for the Armenian Genocide (Lebanon,	1975–1983	10s	H	F	N	TC	PO
2	U.S.)							
3	Kabataang Makabayan (Philippines)	1964–	1,000s	LM	PF	LW	RC	—
4	Kach (Israel, West Bank/Gaza)	1971–	10s	H	F	R	TC	—
5	Kahane Chai (Israel, West Bank/Gaza)	1990–	10s	H	F	R	TC	—
6	Kakurokyo (Japan)	1969–	1,000s	H	F	LW	PC	—
7	Kanglei Yawol Kanna Lup (India)	1994–	100s	L	F	N	SR	—
8	Kangleipak Communist Party (India)	1980–	10s	L	F	N	TC	—
9	Karbala Brigades (Iraq)	2004	10s	LM	NF	N	PC	S
10	Karbi Longri North Cachar Hills Resistance Force (India)	2004–	10s	L	F	N	TC	—
11	Karenni National Progressive Party (Burma, Thailand)	1955–	1,000s	L	NF	N	TC	—
12	Kayin National Union (Burma, Thailand)	1959–	1,000s	L	NF	N	TC	—
13	Kenkoku Giyugun Chosen Seibatsutai (Japan)	2002–2004	10s	H	F	RW	PC	PO
14	Khaibar Brigades (Lebanon)	1985	10s	LM	PF	N	PC	S
15	Khmer Rouge (Cambodia)	1951–1998	1,000s	L	NF	LW	RC	MF
